,1,2,3,PanEV,CD63,EpCAM,CD9,SDC1,EGFR,PDL1,MET,CD81,HER2,ADAM10,CTSH
38,-10.6374927,12.55899187,-8.270347151,1,0,0,0,0,0,0,0,0,0,1,0
39,-12.09047876,-5.11332973,-10.99436961,1,0,0,0,0,0,0,0,0,0,1,0
40,-7.586936457,35.51385667,-0.352083871,1,0,0,0,0,0,0,0,0,0,1,0
41,-10.08826103,20.17382137,-0.979112672,1,0,0,0,0,0,0,0,0,0,1,0
42,-11.81715016,32.18263881,-1.098500378,1,0,0,0,0,0,0,0,0,0,1,0
43,-9.598398886,35.74259785,2.295111169,1,0,0,0,0,0,0,0,0,0,0,0
44,-10.01104247,32.72424794,0.620437981,1,0,0,0,0,0,0,0,0,0,0,0
45,-3.738025961,4.819517054,7.73553433,1,0,0,1,0,0,1,0,0,0,1,0
46,4.801765178,16.64787452,16.59641227,1,1,0,1,0,0,1,0,0,1,0,0
47,8.487566189,-8.072937077,-12.63128578,1,0,0,0,1,0,0,0,0,0,0,0
48,-3.208358244,17.09736155,-9.34007342,1,0,0,0,1,0,0,1,0,0,1,0
49,-10.54687271,14.82685863,-6.852482273,1,0,0,0,0,0,0,0,0,0,1,0
50,-8.761857228,38.51637091,1.739817541,1,0,0,0,0,0,0,0,0,0,0,0
51,-6.568078383,36.56211053,0.832372642,1,0,0,0,0,0,0,0,0,0,0,0
52,-10.97571393,15.26155699,-2.856900195,1,0,0,0,0,0,0,0,0,0,1,0
53,-6.717013496,35.73657328,-2.077162233,1,0,0,0,0,0,0,0,0,0,0,0
54,5.699460171,-12.96721956,-15.64182139,1,0,0,0,1,0,0,0,0,0,1,0
55,-4.33552404,22.09165926,7.000309283,1,1,0,1,1,0,1,1,0,1,1,0
56,-0.476430757,16.25521697,16.53972853,1,0,0,0,0,0,0,1,0,0,0,0
57,-4.444857282,28.95363926,4.531970296,1,0,0,1,1,0,0,0,1,1,1,0
58,-10.611134,0.040074098,-5.148014188,1,0,0,0,0,0,0,0,0,0,1,0
59,-10.99421587,36.64714306,0.101869101,1,0,0,0,0,0,0,0,0,0,1,0
60,1.062200624,-3.756819788,2.406353891,1,0,0,0,0,0,0,1,0,0,1,0
61,-5.536957762,15.10624824,-6.702449433,1,0,0,0,0,0,0,0,0,0,1,0
62,0.169791777,13.57712862,8.813277715,1,0,0,0,0,0,0,0,0,0,0,0
63,0.782448089,-0.278713193,13.30719295,1,0,0,0,0,0,0,0,0,0,1,0
64,4.292868164,-30.89519805,-11.82171264,1,0,0,0,0,0,0,1,0,0,1,0
65,-8.380109704,36.9424518,5.797179559,1,0,0,0,0,0,0,0,0,0,0,0
66,-6.478699053,32.13715287,2.505008909,1,0,0,0,0,0,0,0,0,0,1,0
67,-9.410106358,38.31182833,0.209677614,1,0,0,0,0,0,0,0,0,0,0,0
68,-3.73865399,21.85348258,-0.25344449,1,0,0,0,0,0,0,0,0,0,0,0
69,-4.845969176,23.08931801,6.524466091,1,0,0,1,0,0,0,0,0,1,1,0
70,-11.14670874,3.05659201,-4.924908094,1,0,0,0,0,0,0,0,0,0,1,0
71,-12.01037202,-5.702866379,-8.616207972,1,0,0,0,0,0,0,0,0,0,1,0
