x_coord,y_coord,z_coord,HDBSCAN_cluster,stage,stage_category,health_status
-15.833514,-4.8838863,-13.146512,2,F1,Healthy,Healthy
-11.820925,-2.0709453,-6.9414077,2,F1,Healthy,Healthy
-8.383709,-15.615051,-11.98035,2,F1,Healthy,Healthy
-14.957655,5.744807,-5.8699746,2,F1,Healthy,Healthy
-8.2288475,-12.962802,-10.786092,2,F1,Healthy,Healthy
-21.353859,6.884946,4.6466017,2,F1,Healthy,Healthy
-19.737848,12.332897,-11.989825,2,F1,Healthy,Healthy
-11.341008,5.937955,-4.0207853,2,F1,Healthy,Healthy
-4.3793325,10.348517,0.8007439,2,F1,Healthy,Healthy
-4.536644,-4.2969465,-14.485293,2,F1,Healthy,Healthy
-10.301218,3.3696032,-17.747087,2,F1,Healthy,Healthy
-23.830717,3.6041806,-7.705467,2,F1,Healthy,Healthy
4.836682,9.386064,12.6054735,2,F1,Healthy,Healthy
-16.131615,-4.8808722,-6.5417485,2,F1,Healthy,Healthy
-17.09456,8.680652,7.236623,2,F1,Healthy,Healthy
-17.150366,5.056681,-7.055568,2,F1,Healthy,Healthy
-8.086017,3.223206,9.639305,2,F1,Healthy,Healthy
-14.751388,-6.3285084,-12.984438,2,F1,Healthy,Healthy
-12.15059,-6.296896,-9.16332,2,F1,Healthy,Healthy
-17.53687,-0.748582,11.477941,2,F1,Healthy,Healthy
-6.8903637,-14.787254,-15.9955225,2,F1,Healthy,Healthy
-9.157162,-7.2466483,-16.194098,2,F1,Healthy,Healthy
-10.5474615,5.6662545,-13.705981,2,F1,Healthy,Healthy
-10.222004,-7.98101,-16.860142,2,F1,Healthy,Healthy
-5.034674,-11.638008,-15.421026,2,F1,Healthy,Healthy
-5.35176,-10.885252,-14.509241,2,F1,Healthy,Healthy
-17.65494,5.554526,3.7233992,2,F1,Healthy,Healthy
-2.1686268,-1.580092,-19.704681,2,F1,Healthy,Healthy
-10.094926,1.2377206,-4.4326296,2,F1,Healthy,Healthy
-8.368682,3.2706313,-8.406157,2,F1,Healthy,Healthy
-12.089253,5.1818237,-5.195572,2,F1,Healthy,Healthy
1.1457778,18.411396,5.855656,2,F1,Healthy,Healthy
-8.482766,0.93436426,-7.766207,2,F1,Healthy,Healthy
-10.528827,-2.989065,15.001441,2,F1,Healthy,Healthy
-11.10057,-2.018071,18.299374,2,F1,Healthy,Healthy
-4.137176,18.872911,1.5706037,2,F1,Healthy,Healthy
-18.95233,15.204667,1.033127,2,F1,Healthy,Healthy
-3.3151171,-5.0711064,-16.874538,2,F1,Healthy,Healthy
-6.2255597,-6.955915,-15.272732,2,F1,Healthy,Healthy
-13.058338,-6.0715904,-10.730215,2,F1,Healthy,Healthy
-12.236455,5.189429,17.282274,2,F1,Healthy,Healthy
-16.025726,12.60091,13.235213,2,F1,Healthy,Healthy
-9.0944805,-9.319534,-9.4089155,2,F1,Healthy,Healthy
-11.018265,4.7493787,16.090086,2,F1,Healthy,Healthy
-8.173244,20.342743,5.270072,2,F1,Healthy,Healthy
-19.369009,5.0954,1.6662724,2,F1,Healthy,Healthy
-17.00382,7.318162,16.217852,2,F1,Healthy,Healthy
-12.162349,5.057549,9.444077,2,F1,Healthy,Healthy
-8.39825,2.2695622,-6.016637,2,F1,Healthy,Healthy
-12.283826,3.5243344,-3.5219533,2,F1,Healthy,Healthy
-19.383324,14.626055,0.6437223,2,F1,Healthy,Healthy
-11.032208,10.867555,2.7050655,2,F1,Healthy,Healthy
0.8683769,7.6692233,-12.558366,-1,F1,Healthy,Healthy
-16.720036,-3.292317,-0.69644165,2,F1,Healthy,Healthy
-10.317656,0.67027056,-6.2997675,2,F1,Healthy,Healthy
-9.379014,-13.258394,-10.793932,2,F1,Healthy,Healthy
-15.960482,0.43625695,-20.262682,2,F1,Healthy,Healthy
-4.5731483,-6.9413667,-18.258566,2,F1,Healthy,Healthy
-13.659862,14.577934,-2.9994504,2,F1,Healthy,Healthy
-9.570597,8.800206,5.13432,2,F1,Healthy,Healthy
-19.58651,0.12580246,11.483234,2,F1,Healthy,Healthy
-20.957888,-2.1176856,8.812645,2,F1,Healthy,Healthy
-0.84489304,-2.9443214,-20.746521,2,F1,Healthy,Healthy
-19.204674,8.859454,-9.569422,2,F1,Healthy,Healthy
-16.04057,12.478816,10.062928,2,F1,Healthy,Healthy
-5.146053,-3.4335384,-16.107779,2,F1,Healthy,Healthy
-15.491645,15.577613,-1.8157814,2,F1,Healthy,Healthy
-18.872715,-4.364709,-11.290059,2,F1,Healthy,Healthy
-15.31333,15.912596,7.256813,2,F1,Healthy,Healthy
-18.797766,8.277512,11.4334755,2,F1,Healthy,Healthy
-15.872138,1.1585815,-12.357264,2,F1,Healthy,Healthy
-12.932015,7.4024215,-11.645944,2,F1,Healthy,Healthy
-11.147824,-0.21861364,-3.5235553,2,F1,Healthy,Healthy
-12.117603,15.436698,-4.479103,2,F1,Healthy,Healthy
-9.454734,6.157911,-5.720619,2,F1,Healthy,Healthy
-17.997662,6.6799407,8.947797,2,F1,Healthy,Healthy
-4.07576,18.470757,-0.70495373,2,F1,Healthy,Healthy
-12.724474,9.682535,-11.566067,2,F1,Healthy,Healthy
-17.518232,13.759527,-4.3028126,2,F1,Healthy,Healthy
-8.695502,16.614765,3.5756934,2,F1,Healthy,Healthy
-13.99109,-1.3966321,-10.959919,2,F1,Healthy,Healthy
-17.818787,13.25624,8.593819,2,F1,Healthy,Healthy
-20.341402,14.971383,3.4294643,2,F1,Healthy,Healthy
-11.598658,-1.3176923,-10.109967,2,F1,Healthy,Healthy
-19.776302,12.967796,-10.634501,2,F1,Healthy,Healthy
-11.118606,-6.4088163,-10.635139,2,F1,Healthy,Healthy
-8.230191,12.298094,11.485393,2,F1,Healthy,Healthy
-11.242338,5.133811,-14.328228,2,F1,Healthy,Healthy
-17.695877,-0.33102146,9.724241,2,F1,Healthy,Healthy
